	CD38	CD56	CD57	CCR7	CD4	CD209	CCR4	CCR5	CCR6	CD3	CD8	CD1c	CX3CR1	CD86	CXCR3	CXCR5	DNA	CD20	CD27	CD40	CD25	HLADR	CD141	CD127	CD45RA	CD123	CD161	CD16	CD66b	CD14	CD11c	CD11b	CD19
('ilc_2', 'virus: chik', 'original: ilc', 'predict: ilc', 'correlation: 1.0')	-2.26048323338	-0.790805651796	-0.778547794141	-1.26881988796	-1.00669809374	2.96542687179	1.31766347811	-1.00437676152	0.218478912654	-1.28358499949	-1.12190645146	-0.844868232417	-1.59822180206	-0.848807662508	-1.11192866536	-0.705556889409	-1.30875860758	-0.530322955197	-0.961165350214	-0.904126895325	3.13032860081	-1.39781137774	-0.934476732249	2.15253488905	-0.871769678322	-0.795153587656	3.10124556367	-0.996597658844	-0.943318087978	-0.855289156794	-0.875716985988	-0.483077733685	-0.754269978844
('mdc_cd141_1', 'virus: chik', 'original: mdc_cd141', 'predict: mdc_cd141', 'correlation: 1.0')	1.03529646222	-0.842894298802	-0.764239098709	-0.623982230717	0.162250131091	1.19327605173	-0.377802357797	1.30295875861	-0.193135641574	-0.737243394757	-0.645034595795	-0.0284354223977	0.387792507103	0.623311248182	2.33064699504	-0.205855534469	0.810915429666	-0.161281960922	-0.950961851314	0.346237720513	-0.586897651083	1.17196491633	5.73473966207	-1.03391014619	-1.12100077414	-0.305056108395	-0.95643347736	-0.827831366279	-0.826946490251	-0.263865390217	1.116359967	-0.263466394269	-0.554831890185
('mdc_cd1c_1', 'virus: chik', 'original: mdc_cd1c', 'predict: mdc_cd1c', 'correlation: 1.0')	0.422702553823	-0.658266476102	-0.662098896321	-0.831479263375	0.626208243745	0.661948602915	-0.811176451125	2.62672886293	-0.00683827049612	-0.722250070122	-0.567643588467	3.62136085222	-0.172257049787	1.22165186293	-0.469036578512	-0.487119653705	0.286107717251	-0.502373780487	-0.835720099178	-0.300807395298	-0.764194756596	1.55709264206	1.27772791852	-0.962366900098	-0.894566998578	0.690984986618	-0.984288085246	-0.811824255332	-0.748794220624	-0.345533310212	1.90896955571	0.626638147363	-0.559763857036
('mdc_cd1c_2', 'virus: chik', 'original: mdc_cd1c', 'predict: mdc_cd1c', 'correlation: 1.0')	0.658101793018	-0.112161354959	-0.636203323851	-0.713157311149	0.622672492012	1.38208789053	-0.641246781348	3.0537451133	-0.358063048785	-0.722114264219	-0.591539871301	1.79252383909	0.286825824464	1.30167221921	0.318146846444	-0.325504635828	0.185971242851	-0.414319526984	-0.839750430809	0.0201490354613	-0.725093510352	1.59197620355	2.58586489992	-0.959287681722	-0.0821306263953	1.46371784037	-0.891184091186	-0.807326391163	-0.688907309533	-0.173354490261	1.8569831074	0.61898002011	-0.515452278785
('mdc_other_1', 'virus: chik', 'original: mdc_other', 'predict: mdc_other', 'correlation: 1.0')	-0.97170186487	-0.1896039993	-0.829553753508	-0.218725122628	-0.204785266918	0.272979863425	2.61699904152	0.149466422601	0.875772880283	-1.06390554317	-0.964255664417	-0.365508410106	0.257973132549	0.815331193425	2.09954110511	-0.405215971298	-1.08119023309	-0.47898643865	-0.918921067222	0.517065361112	-1.24537678078	0.711749299485	-0.178571620144	-0.980481103972	-1.16934301213	0.199045277625	-0.97500348862	-0.488054423515	0.540354332229	0.519795717814	1.16552103141	0.660581938086	-0.650834558262
('mdc_other_2', 'virus: chik', 'original: mdc_other', 'predict: mdc_other', 'correlation: 1.0')	-0.763817090547	-0.870764004521	-0.74443212458	-1.11052288206	-0.0202753685452	0.059939751925	-0.457557985037	0.408345394663	-0.486534061768	-1.01622818168	-0.901943074462	0.155102323115	0.0945572877528	1.22330247088	-0.770106203425	-0.53578811052	0.398096876488	-0.536824095091	-0.951245801708	-0.140880770286	-1.39801783669	0.972929260483	0.202635434695	-1.07619659276	-1.05176183225	0.380560557442	-1.14004344248	-0.707048643334	-0.805840867898	0.264996560229	1.46348773818	0.566425325988	-0.682452608981
('nk_cell_cd56hi_cd16low_NA', 'virus: chik', 'original: nk_cell_cd56hi_cd16low', 'predict: nk_cell_cd56hi_cd16low', 'correlation: 1.0')	0.512466793113	2.85966112616	-0.693830809925	-0.819624392167	-0.997118694626	-0.739714198441	-0.69229271258	-0.478258743617	-0.865746490715	-1.06850305608	-0.91809463798	-0.847584071587	-1.02622023272	-0.824835193156	-0.00195138535028	-0.697329391795	-1.19005096053	-0.57014995729	-0.354705720016	-0.811322047186	-0.381020760422	-0.996366166824	-0.851947661438	-0.288497900056	-0.532453778153	-0.709529601193	0.567797570361	-0.243437424152	-0.896098408013	-0.609079571899	1.17279739049	0.205214953811	-0.686419712989
('nk_cell_cd56low_cd16hi_1', 'virus: chik', 'original: nk_cell_cd56low_cd16hi', 'predict: nk_cell_cd56low_cd16hi', 'correlation: 1.0')	0.832212562548	1.93596331565	2.66849792061	-0.954983197896	-0.616613947442	-0.437756617261	-0.891591208	-0.810358285715	-0.704603963614	-0.671602585043	-0.218533574516	0.376095574146	0.414969076952	-0.666288693916	-1.17498243852	-0.650078965011	-0.62257349442	-0.550964723523	-0.749466374836	-0.39750671313	1.11169967656	-0.496188934319	-0.204788329754	-0.476846068849	0.914077742743	-0.149215047944	1.35324120836	2.43119674269	2.26667346877	0.409400044501	0.472690374271	-0.0178423424905	-0.0494278963784
('nk_cell_cd56low_cd16hi_2', 'virus: chik', 'original: nk_cell_cd56low_cd16hi', 'predict: nk_cell_cd56low_cd16hi', 'correlation: 1.0')	0.668352002317	1.4173662824	-0.408043271817	-1.03910593045	-0.909241757976	-0.309889877527	-1.03674223118	-0.314392880873	-0.934217642576	-0.921237704158	-0.663673207214	-0.576135363761	0.411264969465	-0.825087906705	-0.811766832259	-0.700028447897	-0.883227765748	-0.606864283984	-0.801931687661	-0.643877850852	-0.659890668306	-1.06873048155	-0.579485740601	-0.98821677174	0.141700113689	-0.73661447382	1.35801187833	1.87247858316	-0.783421175174	-0.666109393592	-0.752382123645	-0.224297902545	-0.544751424713
('nk_cell_cd56low_cd16hi_3', 'virus: chik', 'original: nk_cell_cd56low_cd16hi', 'predict: nk_cell_cd56low_cd16hi', 'correlation: 1.0')	0.664544683685	1.94079814019	-0.400899915005	-1.10815102893	-0.898630352897	-1.1970729216	-1.0047149862	-0.689688615463	-0.951161719484	-0.992104364851	-0.59748666174	-0.563350967409	0.0115465533908	-0.810969309181	-0.871328911908	-0.693110760262	-1.0390775523	-0.610520838308	-0.907598620173	-0.606348853368	-0.839548973009	-0.988615084627	-0.583805614221	-0.956300937847	-0.0533308947716	-0.757983601695	-0.331752332777	2.14449411527	-0.799604276363	-0.665840644474	0.806854652143	-0.150541045384	-0.519442463841
